Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,71.13317073,71.34609756,71.36707317,71.38073171,71.77634146,71.87219512,72.00439024,72.20780488,72.35341463,72.50146341,72.7004878,73.02926829,72.93390244,73.16268293,73.23756098,73.52170732,73.85609756,74.21560976,74.5297561,74.86634146,75.10219512,75.49780488,75.72512195,76.0604878,76.33195122,76.32731707,76.46390244,76.77878049,76.85878049,77.12487805,77.43658537,77.59341463,77.83804878,77.70487805,77.87170732,77.97731707,78.2202439,78.41243902,78.62365854,78.83902439,79.16682927,79.39804878,79.53073171,79.71512195,79.99219512,80.11268293,80.54365854,80.54365854,80.72463415,81.06609756,81.32219512,81.48268293,81.66365854,81.74487805,81.78439024,81.81560976,81.92487805,81.83292683,81.84390244,82.22390244,81.6604878,81.58707317,81.29560976,
Mexico,55.017,55.831,56.599,57.31,57.947,58.499,58.981,59.42,59.835,60.25,60.69,61.155,61.614,62.055,62.459,62.81,63.123,63.434,63.778,64.189,64.703,65.313,65.975,66.644,67.29,67.874,68.388,68.844,69.253,69.623,69.971,70.298,70.616,70.942,71.279,71.646,72.037,72.445,72.845,73.225,73.569,73.867,74.106,74.274,74.372,74.376,74.331,74.238,74.152,74.119,74.19,74.365,74.574,74.739,74.797,74.682,74.412,74.138,74.015,74.202,70.133,70.213,74.832,
United States,69.77073171,70.27073171,70.1195122,69.91707317,70.16585366,70.21463415,70.21219512,70.56097561,69.95121951,70.50731707,70.80731707,71.10731707,71.15609756,71.35609756,71.95609756,72.60487805,72.85609756,73.25609756,73.35609756,73.80487805,73.6097561,74.0097561,74.36097561,74.46341463,74.56341463,74.56341463,74.61463415,74.76585366,74.76585366,75.01707317,75.21463415,75.36585366,75.61707317,75.4195122,75.6195122,75.62195122,76.02682927,76.42926829,76.5804878,76.58292683,76.63658537,76.83658537,76.93658537,77.03658537,77.48780488,77.48780488,77.68780488,77.98780488,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,76.9804878,76.32926829,77.43414634,
